id	content	character	emotions	labels	label24
1171_0003_A_45	另一边，一位名叫U2的小号手仍在练习，B1仍在压腿，他的眼睛不时地看着U2。	b1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0015_A_186	U2离开，B1吃西红柿，高兴地看着U2的背。	b1	1,1,0,0,0,0	[1, 1, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0022_A_251	F1要下车，O2快速帮助：不要跳，你的脚上还有气泡！	o2	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0022_A_253	U2下车，D1和B1同时伸出手来。	b1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0022_A_254	U2下车，D1和B1同时伸出手来。	d1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0029_A_344	B1：我想听你打叫醒电话。	b1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0030_A_352	B1递给U2一块糖果，U2搓了搓手，然后握着B1的手取暖。	u2	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0030_A_351	B1递给U2一块糖果，U2搓了搓手，然后握着B1的手取暖。	b1	1,3,0,0,0,0	[1, 3, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0037_A_416	B1把糖果递给正在练习跳舞的C1。	b1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0048_A_543	我不想离开这里。	o2	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0048_A_549	O2:等我们能这样就好了。	o2	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0048_A_555	F1离开了，但O2把她的羊毛拿在了他的手里。羊毛被拉扯了很长时间。她又转过身来。O2向前走了几步，握住她的手，把羊毛还给她。	o2	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0053_A_627	C1本能地站起来，再次走向O2：我能为你做些什么？	c1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0054_A_635	C1抬头向宿舍喊道：O2，明天你离开时给我打电话，我会为你送行。	c1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0055_A_641	C1也向他致敬。此时，她的姿势非常标准。	c1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0055_A_643	O2离开了，C1仍然在向他敬礼并注视着他。	c1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0053_A_631	C1:都是好话！那就把这些都给我！	c1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0066_A_743	敌人的坦克带着枪来了。O2发现一位战友深陷沼泽。他立即去抓他，但不幸的是O2被击中了他的右手。尽管疼痛，他继续拉他的战友，但他仍然抓不住。	o2	1,0,0,0,0,1	[1, 0, 0, 0, 0, 1]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
1171_0066_A_755	M1：你呢？	m1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0066_A_757	M1：我会再派两个人去守卫。带着重伤者回去！	m1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0066_A_759	M1：你的动脉被刺穿了。如果你不及时处理，你会死的。	m1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0068_A_791	医疗H3：你已经好几个晚上没睡觉了。好好休息，明天早上把身体包起来。（命令其他人离开）大家，把尸体抬到帐篷里。	h3	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0070_A_804	B1想上车离开，C1打电话给她，紧紧拥抱她。	c1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0070_A_806	B1:保重！	b1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0070_A_807	C1：战前，O2给我发了一封信，说他也在前线。你跑了很多。如果你看到他，你必须告诉我。	c1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0070_A_809	C1后退了几步，然后返回：P2，你帮我告诉F1 O2非常爱她，但她掉进了井里，我一辈子都不会原谅她。	c1	1,0,0,1,0,0	[1, 0, 0, 1, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0071_A_823	C1:是的！	c1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0079_A_883	B1把项链放回U2的手中：不要换职业，不要换工作，不要离开这里。	b1	1,0,0,0,0,1	[1, 0, 0, 0, 0, 1]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
1171_0076_A_848	芬H3：你打哪儿了？严重吗！	h3	1,0,1,0,0,0	[1, 0, 1, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0076_A_853	他愣住了。她似乎根本听不进芬H3的话。突然，她跑了出来，芬H3打电话给她。她没有回头。	b1	1,0,0,0,1,0	[1, 0, 0, 0, 1, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]
1171_0078_A_863	B1小跑回宿舍。她急忙打开抽屉，拿出一个盒子，从盒子里拿出一条金项链。	b1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0082_A_918	U2把B1拉进车里，两人坐在一起。	b1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0082_A_919	U2把B1拉进车里，两人坐在一起。	u2	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0082_A_922	B1发现了一个盒子U2，她脚下有一个数字。她打开盒子，把它放进去。	b1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0082_A_934	当汽车缓慢行驶时，其他人都睡着了，D1和U2靠在一起。	d1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0082_A_935	当汽车缓慢行驶时，其他人都睡着了，D1和U2靠在一起。	u2	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0089_A_1061	D1：我不想要它。	d1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0090_A_1085	O2打开一瓶酒：包飞，我是来看你的。如果我还活着，我会有三十一个孩子，我会有我的妻子和孩子。来吧，今天多喝点。（把酒倒在墓地上）我不尊重你用我的假手。我想向你介绍一位战友C1，他在战场上救了我们的许多兄弟。	o2	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0091_A_1089	C1点燃了一支烟，吸进了氧气：这些年你过得怎么样？	c1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0091_A_1107	O2扔掉香烟，用手臂搂住C1的肩膀。	o2	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0091_A_1094	C1用同情和希望的眼神看着O2。	c1	1,0,0,0,0,1	[1, 0, 0, 0, 0, 1]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
1171_0091_A_1106	C1：那天我来告诉你，你能拥抱我吗？	c1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0007_A_102	王：小心点。	v2	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0023_A_241	S2：大约十岁。当时,江叔叔和云婶婶从台北回到大陆做生意。他对我们家很好。我在香港上学，然后去欧洲。他支付了所有这些费用。	s2	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0023_A_243	S2：姜叔叔就是这样一个人。他和我父亲不同。我父亲什么都不是。	s2	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0024_A_262	D1:S2，回去。	d1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0035_A_391	S2：哇，真漂亮。我也想要一个。	s2	1,0,1,0,0,0	[1, 0, 1, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0042_A_495	在房间里，P2紧紧握住A1的手，A1把手放在P2的肩膀上，假装很安慰。	a1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0042_A_498	P2走近A1的身体，然后脱下外套，拥抱A1并开始亲吻他。	p2	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0055_A_697	D1走上前拥抱她，然后带着她开始跳舞。他们站起来走出包房，Q2独自跳舞，甚至T2也放下包坐在沙发上。	d1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0055_A_714	D1：你就像天空中的一朵云，偶尔出现在蓝天白云中，你知道吗？	d1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0055_A_716	D1准备亲吻廉T2，廉T2试图避开他。	d1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0055_A_727	D1试图提起偶数T2的裙部，但被偶数T2推开。	d1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0055_A_751	我刚刚看到D1拥抱T2亲热的场景。	d1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0057_A_776	E1在舞台上与几位女性搭档表演，很快就被T2的歌声所吸引。	e1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0057_A_778	E1一直在同一舞台上观看Lian T2。一位女性同伴走过来，E1向她询问情况。	e1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0058_A_780	E1走近更衣室，拿了一束花放在桌子上，然后走向莲T2。	e1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0058_A_786	E1来到T2公司，把花递给她。	e1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0065_A_893	S2挂断电话，留下眼泪，躺在床上。	s2	1,0,0,0,0,1	[1, 0, 0, 0, 0, 1]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
1460_0067_A_897	小学的S2躺在浴缸里，甚至T2在洗头。	t2	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0067_A_900	甚至T2:S2，你会永远和云阿姨在一起吗？	t2	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0067_A_903	在卧室里，S2在床上眯起眼睛，甚至T2也在抚摸S2，眼泪顺着他的眼睛流下来。	t2	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0067_A_907	丽安：云阿姨不哭。你知道，当你长大后，你应该知道如何保护自己不受欺负。	t2	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0078_A_1115	P2听到S2在哭，赶紧跑上楼。P2看到S2在地上哭泣，急忙上前把她抱了起来。	p2	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2369_0009_A_61	A1：我想问他为什么这么做，他的动机是什么	a1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2369_0012_A_70	A1:R2，你有N2的照片吗？我想看看。	a1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2369_0012_A_79	带我去见波波。	a1	1,0,0,0,0,0	[1, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
