id	content	character	emotions	labels	label24
1171_0003_A_78	D1笑得最大声。	d1	0,2,0,0,0,0	[0, 2, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0007_A_119	B1左，C1在淋浴下兴奋地旋转，幸福感无法表达。	c1	0,2,0,0,0,0	[0, 2, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1171_0037_A_417	B1：我父亲还了工资，他被解放了。	b1	0,2,0,0,0,0	[0, 2, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0007_A_90	D1走进走廊，来到Q1的家。Q1的房子正在吃瓜子，V2热情地迎接。	v2	0,2,0,0,0,0	[0, 2, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0013_A_167	P2喊道：我稍后会告诉你那个地方！	p2	0,2,0,0,0,0	[0, 2, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0013_A_168	D1：我刚下班。我稍后会请你吃饭。	d1	2,2,0,0,0,0	[2, 2, 0, 0, 0, 0]	[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0014_A_171	E1和P2跳得很刺激。	p2	0,2,0,0,0,0	[0, 2, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0014_A_172	E1和P2跳得很刺激。	e1	0,2,0,0,0,0	[0, 2, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0014_A_173	D1愚蠢地过来打招呼。	d1	0,2,0,0,0,0	[0, 2, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1460_0016_A_192	赞美：哇，漂亮的车！	x2	0,2,3,0,0,0	[0, 2, 3, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
